,Reasonable,Informative
Select the item with the greatest average volume. A) Single sheet of paper B) Stack of paper C) Ream of paper D) Pallet of paper E) Warehouse of paper Answer: E) Warehouse of paper,1,1
Choose the item that typically occupies the largest amount of space. A) Key B) Car C) House D) Mobile phone E) Wallet Answer: C) House,1,1
What occupies more volume: a single marble or a jar full of marbles? A) A single marble B) A jar full of marbles C) They occupy the same space D) It depends on the marble size E) It depends on the jar's size Answer: B) A jar full of marbles,1,1
Considering normal sizes  which is the heaviest? A) A glass of water B) A bottle of wine C) A bucket of sand D) A bag of rice E) A tire Answer: E) A tire,1,1
Which of these objects is typically the heaviest? A)  A golf ball  B)  A bowling ball  C)  A tennis ball  D)  A baseball  E)  A ping pong ball Answer: B) A bowling ball,1,1
Which object typically weighs the most? A) A marble B) A bowling ball C) A golf ball D) A baseball E) A tennis ball Answer: B) A bowling ball,1,1
Would a bottle fit inside a cooler? A) it can B) it cannot Answer: A) it can,1,1
"Would a clock fit inside a drawer? Answer ""it can"" or ""it cannot"". None Answer: it can",1,1
"Would a small plant fit inside a flowerpot? Answer ""it can"" or ""it cannot"". None Answer: it can",1,1
What state should a bottle of wine be in to pour a glass? A) Open B) Closed Answer: A) Open,1,1
What state should a garage door be in to drive your car out? A) Open B) Closed Answer: A) Open,1,1
What state should a computer mouse be in to use it? A) Unplugged   B) Plugged in Answer: B) Plugged in,1,1
Which of these can be used to measure length? A) Ruler B) Pen C) Pencil D) Eraser E) Stapler Answer: A) Ruler,1,1
Which of these can you use to heat up food? A)  Refrigerator B)  Microwave C)  Pillow D)  Chair E)  Lamp Answer: B) Microwave,1,1
Which of these can be used to write on a whiteboard? A) Sponge B) Eraser C) Marker D) Ruler E) Stapler Answer: C) Marker,1,1
Which of these is used for carrying groceries and is bigger than a backpack? A) Shopping bag B) Wallet C) Purse D) Handbag E) Briefcase Answer: A) Shopping bag,0,
Which of these is used for cutting and is smaller than a saw? A) shears B) ax C) hatchet D) knife E) machete Answer: D) knife,0,
Which of these is a source of light and is smaller than a desk lamp? A) candle B) flashlight C) lightbulb D) lampshade E) spotlight Answer: B) flashlight,0,
Tell me which of these is often spherical and used for playing games. A) Ball B) Dice C) Card D) Chip E) Token Answer: A) Ball,1,1
Tell me which of these is usually spherical and used for bouncing. A) Ball B) Bat C) Glove D) Net E) Racket Answer: A) Ball,1,1
Tell me which of these is usually conical and used for party celebrations. A) Party hat B) Balloon C) Cake D) Banner E) Streamer Answer: A) Party hat,1,1
Which of these is a large appliance used for drying clothes? A) Washing Machine B) Dryer C) Refrigerator D) Oven E) Microwave Answer: B) Dryer,1,1
Tell me which of these can cut food and is usually smaller than a knife. A) axe B) sword C) scissors D) machete E) cleaver Answer: C) scissors,0,
Tell me which of these provides warmth and is small enough to carry in a pocket. A) fireplace B) heater C) hand warmer D) furnace E) radiator Answer: C) hand warmer,1,1
What should you use to view distant objects more clearly and which one is portable? A) Telescope (stationary) B)  Binoculars C)  Microscope D)  Magnifying Glass E)  Camera Answer: B) Binoculars,1,0
What should you use to wash your car that is also a water-propelled device? A) Bucket B) Sponge C) Hose D) Cloth E) Soap Answer: C) Hose,1,0
What should you use to illuminate a dark room  and is also portable and battery-powered? A) Candle B) Streetlight C) Flashlight D) Lamp E) Fire Answer: C) Flashlight,1,1
Choose the differences between an earthquake and a tremor. A) Tremors are stronger than earthquakes. B) Earthquakes are always more destructive than tremors. C) Tremors are smaller and less noticeable than earthquakes. D) Earthquakes occur only on land  while tremors occur only underwater. E) There is no difference between an earthquake and a tremor. Answer: C) Tremors are smaller and less noticeable than earthquakes.,1,1
Choose the differences between a lake and a pond. A) Ponds are always smaller and shallower than lakes. B) Only lakes have fish. C) Only ponds have plants. D) Lakes are always freshwater  while ponds are always saltwater. E) There is no difference in size. Answer: A) Ponds are always smaller and shallower than lakes.,1,1
Choose the differences between a blizzard and a snowstorm. A) Blizzards have stronger winds and lower visibility than snowstorms. B) Snowstorms always last longer than blizzards. C) Blizzards occur only in mountainous regions. D) Snowstorms have heavier snowfall than blizzards. E) There is no difference in their wind speeds. Answer: A) Blizzards have stronger winds and lower visibility than snowstorms.,1,1
Choose the difference between a cat and a dog in terms of their typical behavior towards humans. A) Cats and dogs both are equally affectionate. B) Cats are typically independent  while dogs are often more social and affectionate towards humans. C) Cats and dogs both act the same. D) Cats are more likely to be aggressive  while dogs are more likely to be timid. E) Cats and dogs both equally dislike humans. Answer: B) Cats are typically independent while dogs are often more social and affectionate towards humans.,1,1
Choose the differences between a house and an apartment in terms of ownership. A) Houses and apartments have the same ownership. B) Apartments are always owned  houses are rented. C) Houses are always owned apartments are rented. D) Ownership depends on the specific property. E) Ownership is not a factor. Answer: D) Ownership depends on the specific property.,1,0
Choose the differences between a song and a poem in terms of their typical expression. A) Both express emotions. B) Songs use music and lyrics; poems primarily use words. C) Poems use music and lyrics; songs primarily use words. D) Both use only words. E) Both use only music. Answer: B) Songs use music and lyrics; poems primarily use words.,1,1
Can you use a pair of scissors as a knife? A) it can B) it cannot Answer: A) it can,0,
Can you use a pair of scissors as a makeshift knife? A) It can B) It cannot Answer: A) It can,0,
Can a book substitute for a tablet? A) It can B) It cannot Answer: B) It cannot,1,0
Is an apple a fruit? A) It is B) It isn't Answer: A) It is,1,1
"Is a lion a mammal? Answer ""It is"" or ""It isn't"" A) It is B) It isn't Answer: A) It is",1,1
