category,instruction,reasonableness,informativeness
biggest,Which of these typically occupies the most space in a typical home? A) A toaster B) A refrigerator C) A coffee mug D) A tea kettle E) A spice rack Answer: B) A refrigerator,1,0
biggest,Compare the following. Which one generally takes up the most space? A) A golf ball B) A basketball C) A tennis ball D) A baseball E) A ping pong ball Answer: B) A basketball,1,1
heaviest,Which object typically has the greatest mass? A) a golf ball B) a tennis ball C) a baseball D) a basketball E) a bowling ball Answer: E) a bowling ball,1,1
heaviest,Which item usually weighs the most? A)  Small bag of chips B)  Large bag of chips C)  Candy bar D)  Gum E)  Cookie Answer: B) Large bag of chips,0,
heaviest,Which of these typically weighs the most? A) A thimble B) A spool of thread C) A sewing needle D) A pair of scissors E) A sewing machine Answer: E) A sewing machine,1,1
fits,Can a potato fit inside a potato sack? A) it can B) it cannot Answer: A) it can,1,0
fits,Can a light bulb fit inside a lampshade? A) it can B) it cannot Answer: A) it can,1,0
fits,Would a pair of socks fit inside a shoe? A) it can B) it cannot Answer: A) it can,1,0
interact,What state should a swing be in to be easily used? A) hanging B) broken Answer: A) hanging,1,0
interact,What state should a stove be in to easily cook food? A) Turned on B) Turned off Answer: A) Turned on,1,0
can_do,Which of these is used to carry groceries? A) Toothbrush  B) Shopping bag  C) Comb  D) Soap  E) Towel Answer: B) Shopping bag,1,0
can_do,Which of these is used for personal hygiene? A) Toothbrush B) Toothpaste C) Soap D) Towel E) All of the above Answer: E) All of the above,1,1
can_do,Which of these is used to store important documents? A) Basket B) File Cabinet C) Trash Can D) Drawer E) Box Answer: B) File Cabinet,1,1
can_do_size,Which of these is a type of container and is smaller than a chest? A) Suitcase B) Box C) Trunk D) Crate E) Bin Answer: B) Box,0,
can_do_size,Which of these is used to cut things and is smaller than a breadbox? A) chainsaw B) knife C) scissors D) machete E) axe Answer: C) scissors,0,
can_do_size,Which of these is used for carrying small items and is smaller than a backpack? A) handbag B) purse C) wallet D) shopping bag E) briefcase Answer: C) wallet,0,
can_do_shape,Which of these is typically rectangular and used for displaying artwork? A) Easel B) Frame C) Gallery Wall D) Museum E) Art Studio Answer: A) Easel,0,
can_do_shape,Which of these is usually cylindrical and used to hold up a flag? A) Flagpole B) Plate C) Book D) Box E) Chair Answer: A) Flagpole,1,0
can_do_char,Tell me which of these is a large heavy object used for sitting. A) Pencil B) Eraser C) Sofa D) Fork E) Spoon Answer: C) Sofa,1,0
can_do_char,Tell me which of these is used to carry coins and is typically small enough to fit in a pocket. A) suitcase B) purse C) wallet D) backpack E) shopping bag Answer: C) wallet,1,1
can_do_char,Tell me which of these is a large typically wooden object used for sitting. A) Pillow B) Chair C) Blanket D) Towel E) Lamp Answer: B) Chair,1,1
can_do_goal,What should you use to write on a blackboard that is also made of chalk? A) Marker B) Pen C) Pencil D) Crayon E) Chalk Answer: E) Chalk,1,0
can_do_goal,What should you use to fasten two pieces of wood together securely that is also made of metal? A)  Glue  B)  Tape  C)  Screw D)  Nail E)  String Answer: C) Screw,0,
can_do_goal,What should you use to clean your teeth and which one is electric? A) Toothbrush B)  Electric Toothbrush C)  Dental Floss D)  Mouthwash E)  Toothpaste Answer: B) Electric Toothbrush,1,0
difference,Choose the differences between a poem and a story. A) Poems use concise language and imagery often focusing on emotional expression while stories generally use narrative to describe events. B) Only poems rhyme. C) Only stories have characters. D) Poems ar,0,
difference,Choose the differences between a knife and a fork. A) Knives are used for cutting while forks are used for piercing and lifting food. B) Knives have a blade while forks have tines. C) Only knives can be used for cutting meat. D) Knives are always sharper ,0,
diff_criteria,Choose the differences between an orange and a grapefruit in terms of their size and taste. A) Oranges and grapefruits both have the same size. B) Grapefruits are typically larger and more tart than oranges. C) Oranges and grapefruits both have the same s,1,0
diff_criteria,Choose the differences between a bicycle and a car in terms of their primary mode of propulsion. A) Both use wheels for movement. B) A bicycle is propelled by human power while a car uses an engine. C) Both can travel on roads. D) Both require some form o,1,0
