category,instruction,reasonableness,informativeness,Note
biggest,Which of these generally has the largest volume? A)  Toothbrush B)  Toothpaste C)  Dental Floss D)  Mouthwash E)  Hospital Answer: E) Hospital,1,0,
biggest,Which of these generally has the biggest volume? A) Staple B) Massive warehouse C) Paperclip D) Rubber band E) Button Answer: B) Massive warehouse,1,0,
biggest,Which of these usually has the greatest volume? A) A crayon B) A box of crayons C) A coloring book D) A pencil E) A sharpener Answer: C) A coloring book,1,1,
heaviest,Which of these types of boats is typically the heaviest? A) Kayak B) Canoe C) Rowboat D) Yacht E) Dinghy Answer: D) Yacht,1,1,
heaviest,Which of these items is typically the heaviest? A) A picture frame B) A mirror C) A painting D) A poster E) A canvas Answer: C) A painting,0,0,
fits,Would a goldfish fit inside a coffee mug? A) it can B) it cannot Answer: B) it cannot,0,0,
fits,"Can a pillow fit inside a pillowcase? Answer ""it can"" or ""it cannot"". None Answer: it can",1,0,
fits,Would a television fit inside a cardboard box? A) it can B) it cannot Answer: A) it can,1,1,
interact,What state should a stove be in to cook food? A) On B) Off Answer: A) On,1,1,
interact,What state should a tablet be in to watch videos? A) charged B) uncharged Answer: A) charged,1,1,
interact,What state should a lamp be in to easily turn it on? A) Plugged in B) Unplugged Answer: A) Plugged in,1,1,
can_do,Which of these can be used to sit on? A) plate  B) cup  C) chair  D) fork  E) spoon Answer: C) chair,1,0,
can_do,Which of these can be used to transport people? A) Car B) Bicycle C) Airplane D) Train E) All of the above Answer: E) All of the above,1,1,
can_do_size,Which of these is a type of game piece and is smaller than a chess piece? A) checker B) domino C) playing card D) dice E) mahjong tile Answer: D) dice,0,0,
can_do_size,Which of these items is used for communication and is smaller than a desktop computer? A) Mainframe B) Server C) Laptop D) Tablet E) Smart speaker Answer: D) Tablet,1,1,
can_do_size,Which of these is used for communication and is smaller than a desktop computer? A) satellite B) smartphone C) radio tower D) mainframe E) server Answer: B) smartphone,1,1,16 and 17 are the same
can_do_shape,Tell me which of these is typically square and used for displaying artwork. A)  Vase B)  Picture Frame C)  Scroll D)  Plate E)  Coin Answer: B) Picture Frame,1,1,
can_do_shape,Tell me which of these is a long thin flexible object used for writing and is typically made of plastic. A) Pencil B) Pen C) Marker D) Crayon E) Chalk Answer: B) Pen,0,0,
can_do_shape,Tell me which of these is typically spherical and used for decoration. A)  Ornament B)  Ribbon C)  Bow D)  Wreath E)  Star Answer: A) Ornament,1,1,
can_do_char,Tell me which of these is a typically rectangular object used for writing on. A) napkin  B) whiteboard  C) envelope  D) stamp  E) notecard Answer: B) whiteboard,0,0,
can_do_char,Tell me which of these is a piece of furniture used for sitting. A) Lamp B) Chair C) Plate D) Cup E) Fork Answer: B) Chair,1,0,
can_do_goal,What should you use to cut thick pieces of metal that also uses a reciprocating blade? A) Hacksaw B) Hand Saw C) Reciprocating Saw D)  Jigsaw E)  Coping Saw Answer: C) Reciprocating Saw,1,0,
can_do_goal,What should you use to quickly heat up a frozen meal that usually rotates food during operation? A)  Oven  B)  Stove  C)  Microwave D)  Grill E)  Slow Cooker Answer: C) Microwave,1,1,
can_do_goal,What should you use to drink water and which one is insulated to keep drinks cold? A) Mug B)  Glass C)  Insulated Water Bottle D)  Wine Glass E)  Cup Answer: C) Insulated Water Bottle,1,0,
difference,Choose the differences between a painter and a sculptor. A) Painters use paint on a flat surface while sculptors create three-dimensional forms. B) Only painters use brushes. C) Sculptors are always more physically strong than painters. D) Painters and sculptors always use the same materials. E) There is no difference between a painter and a sculptor. Answer: A) Painters use paint on a flat surface while sculptors create three-dimensional forms.,1,1,
difference,Choose the differences between a sonnet and a haiku. A) Sonnets are typically 14 lines long while haikus are only 3 lines long. B) Sonnets generally follow a specific rhyme scheme and meter while haikus have a syllable structure (5-7-5). C) Sonnets often explore complex themes and emotions while haikus are often more focused on nature and concise imagery. D) Sonnets are a Western poetic form while haikus are a Japanese poetic form. E) All of the above. Answer: E) All of the above,1,1,
difference,Choose the difference between a river delta and a river mouth. A) River deltas are formed by sediment deposition at the mouth of a river. B) River mouths are the point where a river enters a larger body of water. C) River deltas are landforms river mouths are points. D) River deltas are larger than river mouths. E) There is no difference between a river delta and a river mouth. Answer: C) River deltas are landforms river mouths are points.,1,1,
diff_criteria,Choose the differences between a river and a lake in terms of their flow of water. A) Both contain water. B) Rivers have a continuous flow in one direction while lakes have relatively still water. C) Both can be found in nature. D) Both can support aquatic life. E) Both can be sources of drinking water. Answer: B) Rivers have a continuous flow in one direction while lakes have relatively still water.,1,0,
diff_criteria,Choose the difference between a snake and a lizard in terms of their legs. A) Snakes and lizards always have the same number of legs. B) Snakes have four legs lizards have no legs. C) Snakes have no legs lizards have four legs. D) Both snakes and lizards have many legs. E) Both snakes and lizards have no legs. Answer: C) Snakes have no legs lizards have four legs.,1,0,
use_as,Can you use a shirt as a pillow? A) It can B) It cannot Answer: A) It can,1,1,
use_as,Can a bandana replace a head scarf? A) It can B) It cannot Answer: A) It can,1,1,
use_as,Can you use a ruler as a knife? A) it can B) it cannot Answer: B) it cannot,0,0,
is_a,"Is a carrot a root vegetable? Answer ""It is"" or ""It isn't"" A) It is B) It isn't Answer: A) It is",1,1,
is_a,"Is a starfish a type of fish? Answer ""It is"" or ""It isn't"". A) It is B) It isn't Answer: B) It isn't",1,1,
is_a,Is a phone a type of electronic device? A) It is B) It isn't Answer: A) It is,1,1,
types_of,Choose the vegetable from the list. A) Strawberry  B) Blueberry  C) Broccoli D) Raspberry E) Blackberry Answer: C) Broccoli,1,1,
types_of,Choose the office supply from the list. A) Paper B) Pen C) Stapler D) Pencil E) Notebook Answer: A) Paper,0,0,
injury,Which of these objects is most likely to cause a severe concussion if it hits your head? A) A sponge B) A tennis ball C) A brick D) A pillow E) A rubber ball Answer: C) A brick,1,1,
injury,Which item if thrown at someone is most likely to cause serious injury? A) A cotton candy B) A balloon C) A small rock D) A marshmallow E) A piece of paper Answer: C) A small rock,1,0,
injury,Which of these objects is most likely to cause a severe laceration if it breaks? A) A wooden board B) A plastic container C) A ceramic vase D) A rubber ball E) A metal pipe Answer: C) A ceramic vase,1,1,
danger,Which is the most dangerous to have fall on your head from a bookshelf? A) a thin book B) a heavy dictionary C) a soft blanket D) a stuffed animal E) a magazine Answer: B) a heavy dictionary,1,0,
