Object,PropBank Sense,PropBank Role
ladder,ascend.01,PATH
stairway,ascend.01,PATH
barrier,barricade.01,ARG2
column,buttress.01,ARG0
ladder,climb.01,ARG1
step,climb.01,ARG1
stairway,climb.01,ARG1
computer,communicate.01,INSTRUMENT
laptop,communicate.01,INSTRUMENT
telephone,communicate.01,INSTRUMENT
curtain,conceal.01,ARG0
curtains,conceal.01,ARG0
barrel,contain.01,ARG0
box,contain.01,ARG0
cabinet,contain.01,ARG0
container,contain.01,ARG0
crate,contain.01,ARG0
curtain,darken.01,ARG0
ladder,descend.01,PATH
stairway,descend.01,PATH
map,direct.01,INSTRUMENT
car,drive.01,ARG1
truck,drive.01,ARG1
doorway,enter.01,PATH
opening,enter.01,PATH
computer,entertain.01,ARG2
laptop,entertain.01,ARG2
television,entertain.01,ARG2
doorway,exit.01,PATH
opening,exit.01,PATH
extinguisher,extinguish.01,ARG2
hydrant,extinguish.01,ARG2
barn,farm.01,INSTRUMENT
bicycle,go.02,INSTRUMENT
boat,go.02,INSTRUMENT
bridge,go.02,PATH
car,go.02,INSTRUMENT
doorway,go.02,PATH
floor,go.02,PATH
motorcycle,go.02,INSTRUMENT
opening,go.02,PATH
road,go.02,PATH
robot,go.02,ARG0
train track,go.02,PATH
truck,go.02,INSTRUMENT
vehicle,go.02,INSTRUMENT
computer,inform.01,INSTRUMENT
document,inform.01,INSTRUMENT
image,inform.01,INSTRUMENT
laptop,inform.01,INSTRUMENT
map,inform.01,INSTRUMENT
note,inform.01,INSTRUMENT
photograph,inform.01,INSTRUMENT
picture,inform.01,INSTRUMENT
video,inform.01,INSTRUMENT
lamp,light_up.08,ARG0
light source,light_up.08,ARG0
window,light_up.08,ARG0
windshield,light_up.08,ARG0
door,lock.01,ARG1
corner,NA,NA
furniture,NA,NA
plant,NA,NA
rock,NA,NA
stone,NA,NA
tree,NA,NA
balcony,occupy.01,ARG1
barn,occupy.01,ARG1
boat,occupy.01,ARG1
building,occupy.01,ARG1
car,occupy.01,ARG1
floor,occupy.01,ARG1
house,occupy.01,ARG1
truck,occupy.01,ARG1
vehicle,occupy.01,ARG1
telephone,phone.01,INSTRUMENT
camera,photograph.01,INSTRUMENT
boat,pilot.01,ARG1
counter,place.01,ARG2
desk,place.01,ARG2
floor,place.01,ARG2
table,place.01,ARG2
book,read.01,ARG1
document,read.01,ARG1
note,read.01,ARG1
sign,read.01,ARG1
house,reside.01,ARG1
bicycle,ride.01,ARG1
